CELL.TYPE	OC_POP	N	NUM_MANUAL_POPS_ZEROED_OUT	PEARSON	SPEARMAN	MEDIAN_OC_FREQ	MEDIAN_MANUAL_FREQ	MEAN_OC_FREQ	MEAN_MANUAL_FREQ	SD_OC_FREQ	SD_MANUAL_FREQ	FILTER
Myeloid Dendritic cells	Myeloid DC (CD11c+ CD123-)	770	0	0.523725045752688	0.578338261439305	70.0550169873705	71.3	67.0548753018413	69.8607792207792	13.4081730440071	12.661755257707	All P1-P2 matched samples  without abnormal/bad/manual annotations
Plasmacytoid Dendritic cells	Plasmacytoid DC (CD11c- CD123+)	770	0	0.281917004525961	0.454144684600578	17.2133872276671	12.4	20.3760585049785	14.0118181818182	12.4312326428387	8.31699049477491	All P1-P2 matched samples  without abnormal/bad/manual annotations
Natural Killer lymphocytes	NK (CD16+)	770	0	0.904244260822657	0.930838171791328	63.6731300138748	66.65	61.0522261108136	65.2706493506494	15.7938459048852	13.8844589789543	All P1-P2 matched samples  without abnormal/bad/manual annotations
CD56HI Natural Killer lymphocytes	NK CD56HI	770	0	0.352597437734038	0.0569846937992565	0.456312153360461	2.5	0.764009187378763	3.19623376623377	1.18004723719019	2.66751372820193	All P1-P2 matched samples  without abnormal/bad/manual annotations
CD56LO Natural Killer lymphocytes	NK CD56LO	770	0	0.772125905611992	0.708238781217135	97.021648894623	90.1	94.9989074712788	88.1302597402597	7.34859623367352	7.98404496008414	All P1-P2 matched samples  without abnormal/bad/manual annotations
MONOCYTES	MONOCYTES (CD14+)	770	0	0.854774682453746	0.848624879975326	30.3134249641952	42.2	31.4839421740726	42.3007792207792	13.7976359300891	14.9042012183275	All P1-P2 matched samples  without abnormal/bad/manual annotations
Classical monocytes	Classical monocytes (CD16- CD14+)	770	0	0.139773897454378	0.549234502859849	96.9294215684058	95.7	95.0548117104437	95.1545454545455	7.38584692513553	3.18979376346777	All P1-P2 matched samples  without abnormal/bad/manual annotations
Non classical monocytes	Non classical monocytes (CD16+ CD14+)	770	0	0.121884157867065	0.520734843977377	3.07057843159413	2.5	4.94518828955632	2.97532467532468	7.38584692513553	2.5616535948919	All P1-P2 matched samples  without abnormal/bad/manual annotations
B lymphocytes	B cells (CD3- CD19+)	921	0	0.864897310660256	0.911808608034552	5.23708948911245	5.2	6.83912383468028	6.45765472312704	6.21093587809054	5.75390496270009	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
IgD+ memory B cells	IgD+ memory Bcells (CD27+)	836	85	0.873092416266765	0.888378461697426	10.0512278917671	11	12.3548175016621	12.6238038277512	9.66287363555068	8.74498838882887	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
IgD- memory B cells	IgD- memory Bcells (CD27+)	836	85	0.861919887923436	0.922108204978922	8.39875943595615	6.45	10.69748345714	8.18732057416268	8.90840035746995	7.20247509005464	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Naive B cells	naive Bcells (CD27- IgD+)	921	0	0.918187547431379	0.935530211245582	68.569746909947	69.8	65.4434623832117	67.0404994571118	17.6069337515151	16.2137769977535	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
T cells	Tcells (CD3+ CD19-)	921	0	0.985025309970288	0.985332862595209	71.5717082839808	68.9	69.0395891354153	66.6418023887079	13.433779750797	12.9557398983262	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Cytotoxic T cells	cytotoxic Tcells-CD8+	921	0	0.989889282994844	0.987346119782543	24.0698746542401	24.3	26.573718056715	26.6888165038002	13.2449449030871	13.3136010387706	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Activated Cytotoxic Tcells	activated cytotoxic Tcells (CD8+ HLA-DR+)	921	0	0.0960816420501897	0.159735170699211	5.00176949392474	2.2	5.00306851493262	3.19609120521173	0.00560188610155882	3.00185919352649	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Central Memory cytotoxic T cells	central memory cytotoxic Tcells (CCR7+ , CD45RA-)	921	0	0.579804117104115	0.568954363553403	11.2301362088536	8.2	16.1593393808107	13.6397394136808	14.0613099823704	14.4328477084565	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Effector (E) cytotoxic T cells	effector cytotoxic Tcells  (CCR7-  CD45RA+)	921	0	0.762169688231682	0.769164896518006	50.8150365934797	39.6	50.1971398226064	40.2312703583062	25.4636952774821	24.2642015657546	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
pE cytotoxic T cells	pE cytotoxic Tcells (CD27-  CD28-)	921	0	0.790180516025387	0.790290703108663	55.2699228791774	69	51.8657230713674	61.9203040173724	26.5987236311689	23.5261762242307	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
pE1 cytotoxic T cells	pE1 cytotoxic Tcells (CD27+  CD28+)	921	0	0.711584079536588	0.722637565224298	15.3024911032028	11.2	21.1351351848127	15.0370249728556	17.6895191680486	13.0826506192954	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
pE2 cytotoxic T cells	pE2 cytotoxic Tcells (CD27+ , CD28-)	921	0	0.759261324454379	0.783261001713032	12.3293195828772	15.1	16.7408164713357	20.1545059717698	14.3359257841625	16.0469008182204	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
Effector Memory (EM) Cytotoxic T cells	effector memory cytotoxic Tcells (CCR7- , CD45RA-)	921	0	0.47051743032911	0.509107121120883	8.28533295869626	21	12.6408361995656	24.1391965255157	12.4046025711525	16.0660543776862	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
EM1 cytotoxic T cells	EM1 cytotoxic Tcells (CD27+  CD28+)	921	0	0.789447237913576	0.776444381127738	59.2571428571429	54.7	54.9695500325406	51.914332247557	23.2980357951768	17.9984247745019	Samples with less than 10K lymph or 10K PBMC (in OC) are excluded
