BIN	MACHINE.x	MEDIAN_SAMPLE_CV	BIN_POPULATION	CV_POPULATION	PANEL	MANUSCRIPT_RANGE	REDUCTION
(1.4e+05,1.5e+05]	FORTESSA	0.245375240326998	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1.5e+05,1.6e+05]	FORTESSA	0.213603942064604	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1.6e+05,1.7e+05]	FORTESSA	0.153873238369013	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1.7e+05,1.8e+05]	FORTESSA	0.205840392158376	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1.8e+05,1.9e+05]	FORTESSA	0.296135612211215	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1.9e+05,2e+05]	FORTESSA	0.311038253580123	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(2e+05,6e+05]	FORTESSA	0.171209040229708	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(0,5e+03]	LSR	1.61584702909211	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(5e+03,1e+04]	LSR	0.642379430616191	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1e+04,1.5e+04]	LSR	0.517455622620858	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1.5e+04,2e+04]	LSR	0.339021419404806	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(2e+04,3e+04]	LSR	0.335528095807132	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(3e+04,4e+04]	LSR	0.265981567109357	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(4e+04,5e+04]	LSR	0.259707723105032	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(5e+04,6e+04]	LSR	0.225088065231281	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(6e+04,7e+04]	LSR	0.178483835889492	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(7e+04,8e+04]	LSR	0.163636324339221	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(8e+04,9e+04]	LSR	0.15761655562487	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(9e+04,1e+05]	LSR	0.119505776756102	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1e+05,1.1e+05]	LSR	0.0903590077318799	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1.1e+05,1.2e+05]	LSR	0.149661781984495	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1.2e+05,1.3e+05]	LSR	0.0839372868406249	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1.4e+05,1.5e+05]	LSR	0.0945429862008818	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1.5e+05,1.6e+05]	LSR	0.0697513919963221	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1.7e+05,1.8e+05]	LSR	0.107394137625952	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1.8e+05,1.9e+05]	LSR	0.0395014880166628	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1.9e+05,2e+05]	LSR	0.106237619861472	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(2e+05,6e+05]	LSR	0.0762495479240259	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(0,2e+04]	FORTESSA	0.98880842948995	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	0.339088322223271	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	TRUE	0.657073794973431
(0,2e+04]	LSR	1.09518702143626	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	0.225088065231281	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	TRUE	0.794475225851295
(0,5e+03]	FORTESSA	1.65027207986071	Live Single Lymphocytes	Helper Tcells-CD4+	panel1	FALSE	NA
(5e+03,1e+04]	FORTESSA	0.998821039621797	Live Single Lymphocytes	Helper Tcells-CD4+	panel1	FALSE	NA
